,Year_Month,inc_all,ms_all
0,201401,4266,15
1,201402,2976,17
2,201403,3601,16
3,201404,3812,19
4,201405,4242,20
5,201406,4332,26
6,201407,5120,33
7,201408,5125,35
8,201409,4936,19
9,201410,4775,19
10,201411,3718,23
11,201412,3762,21
12,201501,3810,22
13,201502,3021,17
14,201503,4210,20
15,201504,4354,18
16,201505,4891,36
17,201506,4491,36
18,201507,4957,40
19,201508,4860,39
20,201509,4713,34
21,201510,4360,19
22,201511,4165,26
23,201512,4327,20
24,201601,4440,10
25,201602,3848,26
26,201603,4726,21
27,201604,4502,33
28,201605,4708,29
29,201606,4336,43
30,201607,5005,48
31,201608,5126,42
32,201609,4249,31
33,201610,4186,30
34,201611,3988,36
35,201612,4460,27
36,201701,5182,31
37,201702,4493,25
38,201703,4892,22
39,201704,5391,39
40,201705,5496,22
41,201706,4983,33
42,201707,5316,36
43,201708,4780,31
44,201709,4195,27
45,201710,4768,24
46,201711,4483,24
47,201712,4412,21
48,201801,4756,21
49,201802,3774,13
50,201803,3501,17
