,index,Year,NAME,Total_Pop,state
0,213,2018,Maine,1338404,23
1,214,2018,North Carolina,10383620,37
2,215,2018,Georgia,10519475,13
3,217,2018,Alabama,4887871,01
4,218,2018,Vermont,626299,50
5,219,2018,Nevada,3034392,32
6,220,2018,West Virginia,1805832,54
7,221,2018,Oklahoma,3943079,40
8,222,2018,Wisconsin,5813568,55
9,223,2018,Puerto Rico,3195153,72
10,224,2018,Virginia,8517685,51
11,225,2018,North Dakota,760077,38
12,226,2018,South Carolina,5084127,45
13,227,2018,Oregon,4190713,41
14,228,2018,Wyoming,577737,56
15,229,2018,California,39557045,06
16,230,2018,Mississippi,2986530,28
17,231,2018,Connecticut,3572665,09
18,232,2018,Texas,28701845,48
19,233,2018,Maryland,6042718,24
20,234,2018,Florida,21299325,12
21,235,2018,Massachusetts,6902149,25
22,237,2018,Utah,3161105,49
23,238,2018,New York,19542209,36
24,239,2018,New Jersey,8908520,34
25,240,2018,Ohio,11689442,39
26,241,2018,Missouri,6126452,29
27,242,2018,Pennsylvania,12807060,42
28,243,2018,Michigan,9995915,26
29,244,2018,Nebraska,1929268,31
30,245,2018,Idaho,1754208,16
31,246,2018,New Mexico,2095428,35
32,248,2018,South Dakota,882235,46
33,249,2018,Washington,7535591,53
34,250,2018,Rhode Island,1057315,44
35,251,2018,Arizona,7171646,04
36,252,2018,Tennessee,6770010,47
37,253,2018,Kansas,2911510,20
38,254,2018,Colorado,5695564,08
39,255,2018,Indiana,6691878,18
40,256,2018,Kentucky,4468402,21
41,257,2018,Louisiana,4659978,22
42,258,2018,Illinois,12741080,17
43,259,2018,Iowa,3156145,19
44,260,2018,New Hampshire,1356458,33
45,261,2018,Arkansas,3013825,05
46,262,2018,Delaware,967171,10
47,263,2018,Minnesota,5611179,27
48,264,2018,Montana,1062305,30
