,Year,State,County,NAME,Total_Pop,Male_Pop,Female_Pop,Age_Median,White_Pop,Black_AA_Pop,AmericanIndian_AlasNative_Pop,Asian_Pop,PacificNative_Pop,OtherRace_Pop,Social_Security,Gini,PerCapita_Income,state,county
1,2014, Utah,Cache County,"Cache County, Utah",118343,59320,59023,25.2,106227,223,781,3289,440,2095,8191,0.4141,19461,49,005
2,2014, Utah,Davis County,"Davis County, Utah",329692,166412,163280,30.4,297761,4817,1135,6695,1166,10310,23787,0.3891,26416,49,011
3,2014, Utah,Salt Lake County,"Salt Lake County, Utah",1091742,548964,542778,32.2,884711,18547,8131,41693,17709,31437,81611,0.4429,28171,49,035
4,2014, Utah,Utah County,"Utah County, Utah",560974,283080,277894,24.5,517815,3712,2618,7609,3643,15690,28636,0.4121,21113,49,049
5,2014, Utah,Washington County,"Washington County, Utah",151948,74655,77293,35.1,140986,1370,1738,1041,1488,2097,19795,0.3976,20552,49,053
6,2014, Utah,Weber County,"Weber County, Utah",240475,120261,120214,32.4,213902,2035,2017,2990,688,8046,18926,0.4026,24156,49,057
7,2014, Vermont,Chittenden County,"Chittenden County, Vermont",160531,78915,81616,36.3,146944,3356,445,5446,94,3628,16737,0.4398,33115,50,007
8,2014, Virginia,Albemarle County,"Albemarle County, Virginia",104489,49891,54598,38.4,84611,9344,874,5091,31,2633,11693,0.4994,36777,51,003
9,2014, Virginia,Arlington County,"Arlington County, Virginia",226908,113432,113476,34.0,165090,18950,156,23472,374,7126,13346,0.4262,62501,51,013
10,2014, Virginia,Augusta County,"Augusta County, Virginia",73862,37292,36570,44.6,68437,3062,206,203,0,1289,11219,0.4074,27045,51,015
11,2014, Virginia,Bedford County,"Bedford County, Virginia",76583,37660,38923,45.7,,,,,,,11154,0.4083,28633,51,019
12,2014, Virginia,Chesterfield County,"Chesterfield County, Virginia",332499,160461,172038,38.3,228943,75338,1011,12023,91,10224,32316,0.4089,33619,51,041
13,2014, Virginia,Fairfax County,"Fairfax County, Virginia",1137538,563404,574134,37.6,719311,109577,2706,213925,578,49313,75597,0.4259,50549,51,059
14,2014, Virginia,Fauquier County,"Fauquier County, Virginia",68248,34376,33872,41.7,59711,5016,270,866,0,2300,6711,0.4598,44717,51,061
15,2014, Virginia,Frederick County,"Frederick County, Virginia",82377,40430,41947,39.7,75281,4272,42,1356,26,1044,9928,0.4028,31014,51,069
16,2014, Virginia,Hanover County,"Hanover County, Virginia",101918,49817,52101,43.1,88258,9777,97,1591,108,1737,11456,0.3833,36332,51,085
17,2014, Virginia,Henrico County,"Henrico County, Virginia",321924,151586,170338,37.9,186821,94970,550,25159,81,7595,35455,0.4580,34474,51,087
18,2014, Virginia,James City County,"James City County, Virginia",72583,34405,38178,45.8,58546,9794,163,2177,34,1531,12425,0.4577,40266,51,095
19,2014, Virginia,Loudoun County,"Loudoun County, Virginia",363050,180293,182757,35.6,251416,25595,1011,60677,228,16633,16680,0.3775,47510,51,107
20,2014, Virginia,Montgomery County,"Montgomery County, Virginia",97244,50144,47100,27.7,84944,4030,940,5423,0,1529,8305,0.4893,23013,51,121
