,inc1,inc2,weight
0,Shot - Wounded/Injured,Mass Shooting,1561.0
1,Shot - Wounded/Injured,Possession,6488.0
2,Shot - Wounded/Injured,Possession of gun by felon or prohibited person,2923.0
3,Shot - Wounded/Injured,Shot - Dead,8321.0
4,Shot - Wounded/Injured,Gang involvement,2888.0
5,Shot - Wounded/Injured,Shots Fired - No Injuries,314.0
6,Shot - Wounded/Injured,Bar/club incident - in or around establishment,2817.0
7,Shot - Wounded/Injured,Officer Involved Incident,5136.0
8,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator killed,578.0
9,Shot - Wounded/Injured,Drug involvement,2441.0
10,Shot - Wounded/Injured,Kidnapping/abductions/hostage,337.0
11,Shot - Wounded/Injured,Under the influence of alcohol or drugs,592.0
12,Shot - Wounded/Injured,Suicide,1151.0
13,Shot - Wounded/Injured,Murder/Suicide,601.0
14,Shot - Wounded/Injured,Attempted Murder/Suicide,426.0
15,Shot - Wounded/Injured,Domestic Violence,3418.0
16,Shot - Wounded/Injured,Home Invasion,3037.0
17,Shot - Wounded/Injured,Home Invasion - Resident killed,262.0
18,Shot - Wounded/Injured,Armed robbery with injury/death and/or evidence of DGU found,6481.0
19,Shot - Wounded/Injured,Drive-by,7957.0
20,Shot - Wounded/Injured,Officer Involved Shooting - Officer shot,1041.0
21,Shot - Wounded/Injured,Officer Involved Shooting - Officer killed,85.0
22,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator shot,3481.0
23,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,152.0
24,Shot - Wounded/Injured,Spree Shooting,182.0
25,Shot - Wounded/Injured,Institution/Group/Business,2487.0
26,Shot - Wounded/Injured,Animal shot/killed,109.0
27,Shot - Wounded/Injured,Home Invasion - Resident injured,2021.0
28,Shot - Wounded/Injured,Mass Murder,33.0
29,Shot - Wounded/Injured,Concealed Carry License - Perpetrator,126.0
30,Shot - Wounded/Injured,Stolen/Illegally owned,631.0
